163	165	152	137	220	66	36	209
161	167	163	137	218	222	220	209
137	152	151	136	209	36	37	208
160	161	137	136	217	218	209	208
135	157	158	138	205	214	215	206
149	148	135	138	39	40	205	206
136	151	150	139	208	37	38	207
159	160	136	139	216	217	208	207
139	150	149	138	207	38	39	206
158	159	139	138	215	216	207	206
162	166	153	141	219	221	210	201
144	164	162	141	44	65	219	201
141	153	154	140	201	210	211	202
145	144	141	140	43	44	201	202
135	148	147	142	205	40	41	204
156	157	135	142	213	214	205	204
140	154	155	143	202	211	212	203
146	145	140	143	42	43	202	203
143	155	156	142	203	212	213	204
147	146	143	142	41	42	203	204
176	177	164	144	223	232	65	44
145	175	176	144	43	224	223	44
147	148	172	173	41	40	227	226
174	175	145	146	225	224	43	42
147	173	174	146	41	226	225	42
152	165	178	168	36	66	233	231
169	151	152	168	230	37	36	231
171	172	148	149	228	227	40	39
150	151	169	170	38	37	230	229
171	149	150	170	228	39	38	229
197	177	176	181	252	232	223	242
188	199	197	181	243	254	252	242
181	176	175	180	242	223	224	241
189	188	181	180	244	243	242	241
179	192	191	182	238	247	246	239
173	172	179	182	226	227	238	239
180	175	174	183	241	224	225	240
190	189	180	183	245	244	241	240
183	174	173	182	240	225	226	239
191	190	183	182	246	245	240	239
198	200	196	185	253	255	251	234
168	178	198	185	231	233	253	234
185	196	195	184	234	251	250	235
169	168	185	184	230	231	234	235
179	172	171	186	238	227	228	237
193	192	179	186	248	247	238	237
184	195	194	187	235	250	249	236
170	169	184	187	229	230	235	236
187	194	193	186	236	249	248	237
171	170	187	186	228	229	236	237
48	49	64	35	296	295	310	290
34	47	48	35	289	297	296	290
3	1	56	55	264	265	302	303
54	67	45	4	304	312	299	263
3	55	54	4	264	303	304	263
2	1	3	5	274	265	264	275
33	32	2	5	288	287	274	275
4	45	46	6	263	299	298	262
5	3	4	6	275	264	263	262
6	46	47	34	262	298	297	289
33	5	6	34	288	275	262	289
29	28	40	41	284	283	227	226
42	30	29	41	225	285	284	226
57	56	1	8	301	302	265	266
7	44	65	58	267	223	232	300
57	8	7	58	301	266	267	300
2	32	31	9	274	287	286	273
8	1	2	9	266	265	274	273
30	42	43	10	285	225	224	268
9	31	30	10	273	286	285	268
10	43	44	7	268	224	223	267
8	9	10	7	266	273	268	267
21	64	49	50	276	310	295	294
51	22	21	50	293	277	276	294
60	61	12	14	308	307	258	259
13	53	68	59	260	291	311	309
60	14	13	59	308	259	260	309
11	24	23	15	271	279	278	270
14	12	11	15	259	258	271	270
22	51	52	16	277	293	292	261
15	23	22	16	270	278	277	261
16	52	53	13	261	292	291	260
14	15	16	13	259	270	261	260
39	40	28	27	228	227	283	282
26	38	39	27	281	229	228	282
17	12	61	62	257	258	307	306
63	66	36	18	305	233	231	256
17	62	63	18	257	306	305	256
11	12	17	19	271	258	257	272
25	24	11	19	280	279	271	272
18	36	37	20	256	231	230	269
19	17	18	20	272	257	256	269
20	37	38	26	269	230	229	281
25	19	20	26	280	272	269	281
131	111	102	115	331	67	45	321
122	133	131	115	322	333	331	321
115	102	103	114	321	45	46	320
123	122	115	114	323	322	321	320
113	126	125	116	317	326	325	318
105	106	113	116	48	49	317	318
114	103	104	117	320	46	47	319
124	123	114	117	324	323	320	319
117	104	105	116	319	47	48	318
125	124	117	116	325	324	319	318
132	134	130	119	332	334	330	313
110	112	132	119	53	68	332	313
119	130	129	118	313	330	329	314
109	110	119	118	52	53	313	314
113	106	107	120	317	49	50	316
127	126	113	120	327	326	317	316
118	129	128	121	314	329	328	315
108	109	118	121	51	52	314	315
121	128	127	120	315	328	327	316
107	108	121	120	50	51	315	316
87	101	112	110	291	311	68	53
109	88	87	110	52	292	291	53
107	106	91	90	50	49	295	294
89	88	109	108	293	292	52	51
107	90	89	108	50	294	293	51
102	111	100	95	45	67	312	299
94	103	102	95	298	46	45	299
92	91	106	105	296	295	49	48
104	103	94	93	47	46	298	297
92	105	104	93	296	48	47	297
97	101	87	71	354	311	291	343
86	99	97	71	352	356	354	343
71	87	88	70	343	291	292	342
85	86	71	70	351	352	343	342
69	82	83	72	339	348	349	340
90	91	69	72	294	295	339	340
70	88	89	73	342	292	293	341
84	85	70	73	350	351	342	341
73	89	90	72	341	293	294	340
83	84	73	72	349	350	341	340
69	91	92	75	339	295	296	338
81	82	69	75	347	348	339	338
75	92	93	74	338	296	297	337
80	81	75	74	346	347	338	337
96	98	78	76	353	355	344	335
95	100	96	76	299	312	353	335
74	93	94	77	337	297	298	336
79	80	74	77	345	346	337	336
77	94	95	76	336	298	299	335
78	79	77	76	344	345	336	335
