235	500000	928571	950000
236	500000	857143	950000
237	500000	785714	950000
238	500000	714286	950000
239	500000	642857	950000
240	500000	571429	950000
241	500000	500000	950000
242	500000	428571	950000
243	500000	357143	950000
244	500000	285714	950000
245	500000	214286	950000
246	500000	142857	950000
247	500000	71429	950000
248	500000	928571	1000000
249	500000	857143	1000000
250	500000	785714	1000000
251	500000	714286	1000000
252	500000	642857	1000000
253	500000	571429	1000000
254	500000	500000	1000000
255	500000	428571	1000000
256	500000	357143	1000000
257	500000	285714	1000000
258	500000	214286	1000000
259	500000	142857	1000000
260	500000	71429	1000000
261	500000	00000	950000
262	500000	00000	1000000
263	500000	1000000	950000
264	500000	1000000	1000000
265	500000	928571	00000
266	500000	857143	00000
267	500000	785714	00000
268	500000	714286	00000
269	500000	642857	00000
270	500000	571429	00000
271	500000	500000	00000
272	500000	428571	00000
273	500000	357143	00000
274	500000	285714	00000
275	500000	214286	00000
276	500000	142857	00000
277	500000	71429	00000
278	500000	928571	50000
279	500000	857143	50000
280	500000	785714	50000
281	500000	714286	50000
282	500000	642857	50000
283	500000	571429	50000
284	500000	500000	50000
285	500000	428571	50000
286	500000	357143	50000
287	500000	285714	50000
288	500000	214286	50000
289	500000	142857	50000
290	500000	71429	50000
291	500000	00000	00000
292	500000	00000	50000
293	500000	1000000	00000
294	500000	1000000	50000
295	425000	71429	1000000
296	350000	71429	1000000
297	275000	71429	1000000
298	225000	71429	1000000
299	150000	71429	1000000
300	75000	71429	1000000
301	425000	142857	1000000
302	350000	142857	1000000
303	275000	142857	1000000
304	225000	142857	1000000
305	150000	142857	1000000
306	75000	142857	1000000
307	425000	214286	1000000
308	350000	214286	1000000
309	275000	214286	1000000
310	225000	214286	1000000
311	150000	214286	1000000
312	75000	214286	1000000
313	425000	285714	1000000
314	350000	285714	1000000
315	275000	285714	1000000
316	225000	285714	1000000
317	150000	285714	1000000
318	75000	285714	1000000
319	425000	357143	1000000
320	350000	357143	1000000
321	275000	357143	1000000
322	225000	357143	1000000
323	150000	357143	1000000
324	75000	357143	1000000
325	425000	428571	1000000
326	350000	428571	1000000
327	275000	428571	1000000
328	225000	428571	1000000
329	150000	428571	1000000
330	75000	428571	1000000
331	425000	500000	1000000
332	350000	500000	1000000
333	275000	500000	1000000
334	225000	500000	1000000
335	150000	500000	1000000
336	75000	500000	1000000
337	425000	571429	1000000
338	350000	571429	1000000
339	275000	571429	1000000
340	225000	571429	1000000
341	150000	571429	1000000
342	75000	571429	1000000
343	425000	642857	1000000
